FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Steve Nash,959,2002-03,25,-7,FALSE,DAL,29,82,33.1,6.3,13.6,0.465,1.4,3.3,0.413,3.8,4.1,0.909,0.8,2.1,2.9,7.3,1,0.1,2.3,1.6,17.7,PG
Steve Nash,959,2003-04,32,17,FALSE,DAL,30,78,33.5,5.1,10.8,0.47,1.3,3.3,0.405,2.9,3.2,0.916,0.8,2.2,3,8.8,0.9,0.1,2.7,1.8,14.5,PG
Steve Nash,959,2004-05,15,3,FALSE,PHX,31,75,34.3,5.7,11.4,0.502,1.3,2.9,0.431,2.8,3.2,0.887,0.8,2.6,3.3,11.5,1,0.1,3.3,1.8,15.5,PG
Steve Nash,959,2005-06,12,2,FALSE,PHX,32,79,35.4,6.8,13.4,0.512,1.9,4.3,0.439,3.3,3.5,0.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,PG
Steve Nash,959,2006-07,10,-11,TRUE,PHX,33,76,35.3,6.8,12.8,0.532,2.1,4.5,0.455,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,PG
Steve Nash,959,2007-08,21,-4,FALSE,PHX,34,81,34.3,6,11.9,0.504,2.2,4.7,0.47,2.7,3,0.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,1.4,16.9,PG
Steve Nash,959,2008-09,25,7,FALSE,PHX,35,74,33.6,5.8,11.5,0.503,1.5,3.3,0.439,2.6,2.8,0.933,0.3,2.8,3,9.7,0.7,0.1,3.4,1.5,15.7,PG
Steve Nash,959,2009-10,18,-3,FALSE,PHX,36,81,32.8,6.2,12.2,0.507,1.5,3.6,0.426,2.6,2.8,0.938,0.4,2.9,3.3,11,0.5,0.1,3.6,1.3,16.5,PG
Steve Nash,959,2010-11,21,-10,FALSE,PHX,37,75,33.3,5.3,10.8,0.492,1.1,2.7,0.395,3,3.3,0.912,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,14.7,PG
Derek Fisher,965,1996-97,186,40,FALSE,LAL,22,80,11.5,1.3,3.3,0.397,0.3,0.9,0.301,1,1.5,0.658,0.3,0.9,1.2,1.5,0.5,0.1,0.9,1.1,3.9,PG
Derek Fisher,965,1997-98,146,-11,FALSE,LAL,23,82,21.5,2,4.6,0.434,0.4,1,0.383,1.4,1.9,0.757,0.5,1.9,2.4,4.1,0.9,0.1,1.5,1.5,5.8,PG
Derek Fisher,965,1998-99,157,-29,FALSE,LAL,24,50,22.6,2,5.3,0.376,0.8,1.9,0.392,1.2,1.6,0.759,0.4,1.4,1.8,3.9,1.2,0,1.5,1.9,5.9,PG
Derek Fisher,965,2001-02,129,23,FALSE,LAL,27,70,28.2,3.9,9.5,0.411,2.1,5,0.413,1.3,1.6,0.847,0.2,1.9,2.1,2.6,0.9,0.1,0.9,1.7,11.2,PG
Derek Fisher,965,2002-03,106,-70,FALSE,LAL,28,82,34.5,4.1,9.5,0.437,1,2.6,0.401,1.2,1.5,0.8,0.5,2.4,2.9,3.6,1.1,0.2,1.1,2.4,10.5,PG
Derek Fisher,965,2003-04,176,68,FALSE,LAL,29,82,21.5,2.5,7,0.352,0.6,2.2,0.291,1.5,1.9,0.797,0.4,1.5,1.9,2.3,1.3,0,1,1.4,7.1,PG
Derek Fisher,965,2004-05,108,22,FALSE,GSW,30,74,30,4,10.2,0.393,1.5,3.9,0.371,2.4,2.7,0.862,0.5,2.4,2.9,4.1,1,0.1,1.7,2.4,11.9,PG
Derek Fisher,965,2005-06,86,-59,TRUE,GSW,31,82,31.6,4.4,10.8,0.41,1.4,3.6,0.397,3,3.6,0.833,0.4,2.1,2.6,4.3,1.5,0.1,1.9,2.9,13.3,PG
Derek Fisher,965,2006-07,145,17,FALSE,UTA,32,82,27.9,3.1,8.2,0.382,0.6,1.9,0.308,3.2,3.7,0.853,0.4,1.5,1.8,3.3,1,0.1,1.5,2.9,10.1,PG
Derek Fisher,965,2007-08,128,-6,FALSE,LAL,33,82,27.4,4.1,9.5,0.436,1.4,3.4,0.406,2,2.3,0.883,0.3,1.8,2.1,2.9,1,0,1.1,2.3,11.7,PG
Derek Fisher,965,2008-09,134,-37,FALSE,LAL,34,82,29.8,3.6,8.4,0.424,1.5,3.7,0.397,1.3,1.6,0.846,0.3,2,2.3,3.2,1.2,0.1,0.9,2.3,9.9,PG
Derek Fisher,965,2009-10,171,1,FALSE,LAL,35,82,27.2,2.6,6.8,0.38,1,2.7,0.348,1.4,1.6,0.856,0.3,1.8,2.1,2.5,1.1,0.1,1,2.5,7.5,PG
Derek Fisher,965,2010-11,170,-4,FALSE,LAL,36,82,28,2.5,6.5,0.389,0.8,1.9,0.396,1,1.3,0.806,0.2,1.7,1.9,2.7,1.2,0.1,0.9,2.3,6.8,PG
Derek Fisher,965,2013-14,239,98,FALSE,OKC,39,81,17.6,1.7,4.5,0.391,1.1,2.8,0.384,0.7,0.9,0.775,0.1,1.4,1.5,1.4,0.9,0,0.6,1.9,5.2,PG
Jermaine O'Neal,979,1999-00,195,148,FALSE,POR,21,70,12.3,1.5,3.2,0.486,0,0,0,0.8,1.4,0.582,1.4,1.9,3.3,0.3,0.2,0.8,0.7,1.8,3.9,C
Jermaine O'Neal,979,2000-01,47,30,FALSE,IND,22,81,32.6,5,10.7,0.465,0,0.1,0,2.9,4.8,0.601,3.1,6.7,9.8,1.2,0.6,2.8,2,3.5,12.9,C
